[1.0, 0.0016986076836367717]
[0.3508985205168349, 0.20248214125126546]
[0.1, 0.008547250973348677]
[0.8278468357208795, 0.04212410848194881]
[0.399753620854773, 0.09375605846201934]
[0.1906627693558432, 0.08239016412033077]
[0.31607216819225087, 0.3878928290092113]
[0.16657866004623295, 0.06058215169244509]
[0.8165322373134202, 0.21040231838093126]
[0.23743490501751643, 0.10784761238072849]
[0.9167636533271989, 0.10007725130651993]
[0.6292426030902998, 0.18619369167211997]
[0.5337526416942893, 0.020152578679988556]
[0.8052314202026485, 0.39820158192258104]
[0.7300708290314423, 0.2965766797232743]
[0.37143785774095084, 0.21602543595899226]
[0.37583808414277864, 0.21232434167631917]
[0.5031464983501899, 0.30616468997183244]
[0.47364975444612734, 0.23921749391718522]
[0.269750119381161, 0.6204297863481343]
[0.5395949440317693, 0.06438883947636749]
[0.2835262195627871, 0.6532278147434085]
[0.500721435734365, 0.34088567689743043]
[0.3821013442044403, 0.3264299786914871]
[0.8167777294384327, 0.23793873905719268]
[0.1, 0.014522509573712275]
[0.2658312549270134, 0.8935723306651634]
[1.0, 0.029501665623615555]
[0.8315074407266074, 0.12412381703001285]
[0.8394861870101529, 0.06400973837760535]
[0.4594942706144368, 0.4323898960175685]
[0.4727679927757886, 0.43902697902298604]
[0.21283135133215525, 0.7804486734518532]
[0.16999405288667907, 0.42864888836668436]
[0.3948857923119307, 0.47568397914247557]
[0.2791088487508539, 0.9688583443371098]
[1.0, 0.08005333269761528]
[0.3857484493862856, 0.5498624964640536]
[0.5576627067426436, 0.4333729419357461]
[0.8603542294237033, 0.22448661371737644]
[0.5782758845303195, 0.15072646092848252]
[0.6210202227249306, 0.2321506162255961]
[0.5118945359935092, 0.49999879442313394]
[0.5280610091214027, 0.528841452266572]
[0.11875449950538355, 0.23687610420146346]
[0.1, 0.04295939157301695]
[0.1, 0.0493073997587885]
[1.0, 0.1788061540357883]
[0.5284895896583713, 1.4977086652403213]
[0.9387536793896853, 0.8642420986019081]
[0.6215688726943932, 0.4983779086137636]
[0.9489299680129986, 0.5089428595647892]
[0.978698256941802, 0.5018320852651339]
[0.6535854187555799, 0.30948953074290336]
[0.6653613189004919, 0.32681667323939906]
[1.0, 0.2566507970115296]
[0.1, 0.06645368383676993]
[0.8218939774198153, 0.7288937483882085]
[0.6613627505729984, 0.4536145337501334]
[0.6825694788499863, 0.5359738088164225]
[1.0, 0.2798345474644505]
[0.1, 0.07184471456523368]
[0.684553036481124, 0.763585975744629]
[1.0, 0.29973265823911155]
[0.1, 0.07628781030261753]
[0.14771867799586716, 0.5884829981704999]
[0.1, 0.0996378755975506]
[1.0, 0.3251358745264242]
[1.0, 0.45613663365889173]
[0.1, 0.11720378639452995]
[1.0, 0.620382365651575]
[0.1, 0.1200298448302452]
[0.1, 0.13199936009412072]
[0.1, 0.17561289585419831]
[0.1, 0.19097688598233264]
[0.1, 0.21926217738764656]
[0.1, 0.24783580148234813]
[0.1, 0.28355441809482507]
[0.1, 0.3103362994990068]
[0.1, 0.37100401850408704]
[0.1, 0.3711931993679676]
[0.1, 0.3989308694948446]
[0.1, 0.402833944675211]
[0.1, 0.4253516107420975]
[0.12985814631888273, 0.8221759719698369]
[0.11197794022859048, 0.5771675038697065]
[0.1, 0.4502487280437686]
[0.1, 0.4602918311750858]
[0.1, 0.47172700987630334]
[0.1, 0.5005760876319053]
[0.1, 0.5185857065512749]
[0.1, 0.5328425930545676]
[0.1, 0.5384463984452668]
[0.1, 0.5754839111858583]
[0.1, 0.5882686757116051]
[0.1, 0.6393824702516065]
[0.1, 0.647887694894821]
[0.1, 0.6553405363092462]
[0.1, 0.6580171984197503]
[0.1, 0.7896088000230606]
[0.1, 0.8779658946517659]
[0.1, 0.9179271424457243]
